,temperature,humidite,force_moyenne_du_vecteur_de_vent,force_du_vecteur_de_vent_max,pluie_intensite_max,date,quartier,sismicite,concentration_gaz,pluie_totale,catastrophe
0,5.7,75.6,3.8,4.3,0.0,2170-01-01,Zone 1,0.62,231.56,182.37,aucun
1,5.7,75.6,3.8,4.3,0.0,2170-01-01,Zone 2,0.94,248.2,903.2,['seisme']
2,5.7,75.6,3.8,4.3,0.0,2170-01-01,Zone 3,0.95,240.55,363.06,['seisme']
3,5.7,75.6,3.8,4.3,0.0,2170-01-01,Zone 4,0.39,159.1,473.93,aucun
4,5.7,75.6,3.8,4.3,0.0,2170-01-01,Zone 5,0.41,143.29,475.72,['innondation']
5,19.8,77.8,2.3,0.6,0.0,2171-01-01,Zone 1,0.66,276.74,605.97,['seisme']
6,19.8,77.8,2.3,0.6,0.0,2171-01-01,Zone 2,0.54,182.07,84.19,['innondation']
7,19.8,77.8,2.3,0.6,0.0,2171-01-01,Zone 3,0.74,177.3,161.78,aucun
8,19.8,77.8,2.3,0.6,0.0,2171-01-01,Zone 4,0.37,175.44,103.57,aucun
9,19.8,77.8,2.3,0.6,0.0,2171-01-01,Zone 5,0.5,127.11,560.36,aucun
10,29.7,48.7,4.0,5.8,0.0,2170-10-01,Zone 1,0.92,205.07,696.46,['seisme']
"11,29.7,48.7,4.0,5.8,0.0,2170-10-01,Zone 2,0.84,299.35,331.73,""['innondation', 'seisme']"""
12,29.7,48.7,4.0,5.8,0.0,2170-10-01,Zone 3,0.86,213.04,569.02,['seisme']
13,29.7,48.7,4.0,5.8,0.0,2170-10-01,Zone 4,0.54,147.88,321.36,['innondation']
14,29.7,48.7,4.0,5.8,0.0,2170-10-01,Zone 5,0.48,181.73,663.53,['innondation']
15,27.0,53.8,7.3,12.0,0.0,2171-10-01,Zone 1,0.5,220.17,588.71,aucun
16,27.0,53.8,7.3,12.0,0.0,2171-10-01,Zone 2,0.55,150.44,744.12,['innondation']
17,27.0,53.8,7.3,12.0,0.0,2171-10-01,Zone 3,0.55,210.08,720.42,aucun
18,27.0,53.8,7.3,12.0,0.0,2171-10-01,Zone 4,0.54,153.52,118.84,['innondation']
19,27.0,53.8,7.3,12.0,0.0,2171-10-01,Zone 5,0.34,148.62,866.04,['innondation']
20,14.9,62.6,6.7,12.0,0.0,2170-11-01,Zone 1,0.58,165.85,565.45,aucun
