temperature,humidite,force_moyenne_du_vecteur_de_vent,force_du_vecteur_de_vent_max,pluie_intensite_max,date,quartier,sismicite,concentration_gaz,pluie_totale,catastrophe
5.7,75.6,3.8,4.3,0.0,2170-01-01,Zone 1,0.62,231.56,182.37,aucun
5.7,75.6,3.8,4.3,0.0,2170-01-01,Zone 2,0.94,248.2,903.2,['seisme']
5.7,75.6,3.8,4.3,0.0,2170-01-01,Zone 3,0.95,240.55,363.06,['seisme']
5.7,75.6,3.8,4.3,0.0,2170-01-01,Zone 4,0.39,159.1,473.93,aucun
5.7,75.6,3.8,4.3,0.0,2170-01-01,Zone 5,0.41,143.29,475.72,['innondation']
19.8,77.8,2.3,0.6,0.0,2171-01-01,Zone 1,0.66,276.74,605.97,['seisme']
19.8,77.8,2.3,0.6,0.0,2171-01-01,Zone 2,0.54,182.07,84.19,['innondation']
19.8,77.8,2.3,0.6,0.0,2171-01-01,Zone 3,0.74,177.3,161.78,aucun
19.8,77.8,2.3,0.6,0.0,2171-01-01,Zone 4,0.37,175.44,103.57,aucun
19.8,77.8,2.3,0.6,0.0,2171-01-01,Zone 5,0.5,127.11,560.36,aucun
29.7,48.7,4.0,5.8,0.0,2170-10-01,Zone 1,0.92,205.07,696.46,['seisme']
29.7,48.7,4.0,5.8,0.0,2170-10-01,Zone 2,0.84,299.35,331.73,"['innondation', 'seisme']"
29.7,48.7,4.0,5.8,0.0,2170-10-01,Zone 3,0.86,213.04,569.02,['seisme']
29.7,48.7,4.0,5.8,0.0,2170-10-01,Zone 4,0.54,147.88,321.36,['innondation']
29.7,48.7,4.0,5.8,0.0,2170-10-01,Zone 5,0.48,181.73,663.53,['innondation']
27.0,53.8,7.3,12.0,0.0,2171-10-01,Zone 1,0.5,220.17,588.71,aucun
27.0,53.8,7.3,12.0,0.0,2171-10-01,Zone 2,0.55,150.44,744.12,['innondation']
27.0,53.8,7.3,12.0,0.0,2171-10-01,Zone 3,0.55,210.08,720.42,aucun
27.0,53.8,7.3,12.0,0.0,2171-10-01,Zone 4,0.54,153.52,118.84,['innondation']
27.0,53.8,7.3,12.0,0.0,2171-10-01,Zone 5,0.34,148.62,866.04,['innondation']
14.9,62.6,6.7,12.0,0.0,2170-11-01,Zone 1,0.58,165.85,565.45,aucun
14.9,62.6,6.7,12.0,0.0,2170-11-01,Zone 2,0.56,279.08,119.28,aucun
14.9,62.6,6.7,12.0,0.0,2170-11-01,Zone 3,0.67,208.53,135.14,['seisme']
14.9,62.6,6.7,12.0,0.0,2170-11-01,Zone 4,0.43,108.14,926.01,['innondation']
14.9,62.6,6.7,12.0,0.0,2170-11-01,Zone 5,0.4,180.77,689.96,['innondation']
26.1,58.8,4.6,6.0,0.0,2171-11-01,Zone 1,0.69,257.71,553.35,['seisme']
