temperature,humidite,force_moyenne_du_vecteur_de_vent,force_du_vecteur_de_vent_max,date,quartier,sismicite,concentration_gaz,pluie_totale,catastrophe
5.7,75.6,3.8,4.3,2170-01-01,Zone 2,0.94,248.2,903.2,['seisme']
5.7,75.6,3.8,4.3,2170-01-01,Zone 1,0.95,240.55,363.06,['seisme']
5.7,75.6,3.8,4.3,2170-01-01,Zone 3,0.39,159.1,473.93,['aucun']
19.8,77.8,2.3,0.6,2171-01-01,Zone 2,0.54,182.07,84.19,['innondation']
19.8,77.8,2.3,0.6,2171-01-01,Zone 1,0.74,177.3,161.78,['aucun']
19.8,77.8,2.3,0.6,2171-01-01,Zone 3,0.37,175.44,103.57,['aucun']
29.7,48.7,4.0,5.8,2170-10-01,Zone 2,0.84,299.35,331.73,"['innondation', 'seisme']"
29.7,48.7,4.0,5.8,2170-10-01,Zone 1,0.86,213.04,569.02,['seisme']
29.7,48.7,4.0,5.8,2170-10-01,Zone 3,0.54,147.88,321.36,['innondation']
27.0,53.8,7.3,12.0,2171-10-01,Zone 2,0.55,150.44,744.12,['innondation']
27.0,53.8,7.3,12.0,2171-10-01,Zone 1,0.55,210.08,720.42,['aucun']
27.0,53.8,7.3,12.0,2171-10-01,Zone 3,0.54,153.52,118.84,['innondation']
14.9,62.6,6.7,12.0,2170-11-01,Zone 2,0.56,279.08,119.28,['aucun']
14.9,62.6,6.7,12.0,2170-11-01,Zone 1,0.67,208.53,135.14,['seisme']
14.9,62.6,6.7,12.0,2170-11-01,Zone 3,0.43,108.14,926.01,['innondation']
26.1,58.8,4.6,6.0,2171-11-01,Zone 2,0.85,230.16,672.8,['seisme']
26.1,58.8,4.6,6.0,2171-11-01,Zone 1,0.71,216.28,663.13,['seisme']
26.1,58.8,4.6,6.0,2171-11-01,Zone 3,0.41,101.68,380.26,['aucun']
17.8,70.7,8.3,14.6,2170-12-01,Zone 2,0.69,224.49,876.05,"['innondation', 'seisme']"
17.8,70.7,8.3,14.6,2170-12-01,Zone 1,0.55,285.63,107.67,['aucun']
17.8,70.7,8.3,14.6,2170-12-01,Zone 3,0.62,114.33,605.97,['innondation']
11.9,66.1,4.5,8.2,2171-12-01,Zone 2,0.71,172.46,207.55,['aucun']
11.9,66.1,4.5,8.2,2171-12-01,Zone 1,0.82,179.58,795.85,['aucun']
11.9,66.1,4.5,8.2,2171-12-01,Zone 3,0.7,141.32,994.76,['innondation']
21.0,61.1,17.0,28.6,2170-02-01,Zone 2,0.78,273.85,650.6,"['innondation', 'seisme']"
21.0,61.1,17.0,28.6,2170-02-01,Zone 1,0.76,156.4,34.32,['aucun']
21.0,61.1,17.0,28.6,2170-02-01,Zone 3,0.41,151.16,498.3,['innondation']
11.6,67.1,13.1,21.1,2171-02-01,Zone 2,0.81,211.04,591.95,['aucun']
11.6,67.1,13.1,21.1,2171-02-01,Zone 1,0.6,156.33,560.85,['aucun']
11.6,67.1,13.1,21.1,2171-02-01,Zone 3,0.6,129.39,218.6,['innondation']
20.1,63.9,13.9,30.0,2170-03-01,Zone 2,0.67,278.41,378.13,['aucun']
20.1,63.9,13.9,30.0,2170-03-01,Zone 1,0.84,238.09,373.95,['seisme']
20.1,63.9,13.9,30.0,2170-03-01,Zone 3,0.62,128.98,289.43,['innondation']
21.3,51.0,9.3,20.3,2171-03-01,Zone 2,0.63,187.54,31.42,['aucun']
21.3,51.0,9.3,20.3,2171-03-01,Zone 1,0.76,224.48,411.26,['aucun']
21.3,51.0,9.3,20.3,2171-03-01,Zone 3,0.56,186.21,809.82,['innondation']
26.0,41.0,7.3,22.1,2170-04-01,Zone 2,0.93,179.43,18.79,['innondation']
26.0,41.0,7.3,22.1,2170-04-01,Zone 1,1.0,241.61,0.71,['seisme']
26.0,41.0,7.3,22.1,2170-04-01,Zone 3,0.38,148.84,524.11,['innondation']
8.8,57.5,14.3,30.8,2171-04-01,Zone 2,0.98,161.41,699.64,['innondation']
8.8,57.5,14.3,30.8,2171-04-01,Zone 1,0.61,169.47,683.74,['aucun']
8.8,57.5,14.3,30.8,2171-04-01,Zone 3,0.65,107.74,798.98,['aucun']
19.2,68.2,7.4,14.4,2170-05-01,Zone 2,0.52,156.65,229.35,['innondation']
19.2,68.2,7.4,14.4,2170-05-01,Zone 1,0.94,200.52,254.95,['aucun']
19.2,68.2,7.4,14.4,2170-05-01,Zone 3,0.59,142.59,590.7,['aucun']
23.6,56.4,6.0,9.7,2171-05-01,Zone 2,0.53,241.04,649.54,['innondation']
23.6,56.4,6.0,9.7,2171-05-01,Zone 1,0.64,216.22,294.49,['seisme']
23.6,56.4,6.0,9.7,2171-05-01,Zone 3,0.65,137.07,503.6,['innondation']
30.4,48.1,4.4,18.3,2170-06-01,Zone 2,0.95,243.81,838.15,"['innondation', 'seisme']"
30.4,48.1,4.4,18.3,2170-06-01,Zone 1,0.61,278.58,781.49,['seisme']
30.4,48.1,4.4,18.3,2170-06-01,Zone 3,0.6,103.26,918.31,['innondation']
35.2,36.5,2.8,9.4,2171-06-01,Zone 2,0.72,212.31,234.98,['aucun']
35.2,36.5,2.8,9.4,2171-06-01,Zone 1,0.53,285.99,562.62,['aucun']
35.2,36.5,2.8,9.4,2171-06-01,Zone 3,0.36,136.58,319.46,['aucun']
38.2,37.3,2.4,7.9,2170-07-01,Zone 2,0.51,213.83,168.29,['innondation']
38.2,37.3,2.4,7.9,2170-07-01,Zone 1,0.82,191.08,498.32,['aucun']
38.2,37.3,2.4,7.9,2170-07-01,Zone 3,0.52,113.55,994.06,['innondation']
31.3,36.0,3.0,8.0,2171-07-01,Zone 2,0.9,212.35,130.38,"['innondation', 'seisme']"
31.3,36.0,3.0,8.0,2171-07-01,Zone 1,0.62,172.18,710.5,['aucun']
31.3,36.0,3.0,8.0,2171-07-01,Zone 3,0.51,197.15,402.24,['aucun']
30.5,52.9,5.8,11.9,2170-08-01,Zone 2,0.68,207.63,864.5,['seisme']
30.5,52.9,5.8,11.9,2170-08-01,Zone 1,0.65,213.17,618.76,['seisme']
30.5,52.9,5.8,11.9,2170-08-01,Zone 3,0.62,145.56,258.6,['innondation']
38.8,30.8,4.5,10.5,2171-08-01,Zone 2,0.56,235.04,140.65,['innondation']
38.8,30.8,4.5,10.5,2171-08-01,Zone 1,0.9,293.63,792.74,['seisme']
38.8,30.8,4.5,10.5,2171-08-01,Zone 3,0.65,192.87,637.69,['innondation']
38.4,44.1,3.6,8.6,2171-09-01,Zone 2,0.66,278.31,372.13,['aucun']
38.4,44.1,3.6,8.6,2171-09-01,Zone 1,0.54,176.4,306.25,['aucun']
38.4,44.1,3.6,8.6,2171-09-01,Zone 3,0.7,125.27,642.95,['aucun']
10.9,67.6,5.8,8.7,2170-01-10,Zone 2,0.97,175.68,788.14,['innondation']
10.9,67.6,5.8,8.7,2170-01-10,Zone 1,0.97,151.91,523.93,['aucun']
10.9,67.6,5.8,8.7,2170-01-10,Zone 3,0.58,162.13,95.15,['innondation']
15.1,72.4,3.8,6.2,2171-01-10,Zone 2,0.74,251.25,508.86,"['innondation', 'seisme']"
15.1,72.4,3.8,6.2,2171-01-10,Zone 1,0.66,180.66,174.02,['aucun']
15.1,72.4,3.8,6.2,2171-01-10,Zone 3,0.35,149.51,344.57,['aucun']
25.1,65.4,3.8,5.4,2170-10-10,Zone 2,0.97,216.97,24.95,['aucun']
25.1,65.4,3.8,5.4,2170-10-10,Zone 1,0.74,168.95,318.99,['aucun']
25.1,65.4,3.8,5.4,2170-10-10,Zone 3,0.48,139.53,963.05,['aucun']
26.9,67.8,4.4,11.4,2171-10-10,Zone 2,0.7,226.45,794.82,"['innondation', 'seisme']"
26.9,67.8,4.4,11.4,2171-10-10,Zone 1,0.88,172.46,174.69,['aucun']
26.9,67.8,4.4,11.4,2171-10-10,Zone 3,0.64,119.7,298.1,['innondation']
9.7,76.4,2.9,3.2,2170-11-10,Zone 2,0.74,169.88,307.59,['aucun']
9.7,76.4,2.9,3.2,2170-11-10,Zone 1,0.81,174.08,399.6,['aucun']
9.7,76.4,2.9,3.2,2170-11-10,Zone 3,0.34,195.95,670.43,['innondation']
20.6,64.3,3.1,2.4,2171-11-10,Zone 2,0.53,299.06,504.99,['aucun']
20.6,64.3,3.1,2.4,2171-11-10,Zone 1,0.76,165.75,163.66,['aucun']
20.6,64.3,3.1,2.4,2171-11-10,Zone 3,0.5,108.47,695.67,['innondation']
11.5,75.9,13.4,23.7,2170-12-10,Zone 2,0.76,229.78,194.39,['aucun']
